"Action","Note","StartUtc","EndUtc","DurationSec"
"A01","VM Shutdown: start -> power -> shutdown","2026-08-26 22:31:28.543","2026-08-26 22:35:24.191","235.65"
"A02","VM powered off; host UTC = 2026-08-26T22:31:55.2974385Z","2026-08-26 22:36:04.720","2026-08-26 22:36:42.471","37.75"
"A03","VM powered on; host UTC = 2026-08-26T22:34:18.9453068Z","2026-08-26 22:37:08.898","2026-08-26 22:37:20.877","11.98"
"A04","Wait 90s for post-boot","2026-08-26 22:39:07.837","2026-08-26 22:41:26.536","138.7"
