RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
1087,1087,2026-08-18 08:29:19.9268830,16384,Info,Microsoft-Windows-Security-SPP,Application,1596,0,disstestbedvm,20,,,,,,,,,,,,False,D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_5\artefacts\event_logs\Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""2026-10-12T10:03:19Z, RulesEngine"",""Binary"":""""}}"
1088,1088,2026-08-18 08:29:24.4489858,16394,Info,Microsoft-Windows-Security-SPP,Application,10612,0,disstestbedvm,20,,,,,,,,,,,,False,D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_5\artefacts\event_logs\Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":"""",""Binary"":""""}}"
1090,1090,2026-08-18 08:32:20.2540119,15,Info,SecurityCenter,Application,8728,0,disstestbedvm,20,,,,,,,,,,,,False,D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_5\artefacts\event_logs\Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""Windows Defender, SECURITY_PRODUCT_STATE_ON"",""Binary"":""""}}"
1091,1091,2026-08-18 08:32:22.2682533,15,Info,SecurityCenter,Application,8728,0,disstestbedvm,20,,,,,,,,,,,,False,D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_5\artefacts\event_logs\Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""Windows Defender, SECURITY_PRODUCT_STATE_ON"",""Binary"":""""}}"
1092,1092,2026-08-18 08:32:27.0852583,16394,Info,Microsoft-Windows-Security-SPP,Application,6296,0,disstestbedvm,20,,,,,,,,,,,,False,D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_5\artefacts\event_logs\Application.evtx,0x80000000000000,0,"{""EventData"":{""Data"":"""",""Binary"":""""}}"
32485,32485,2026-08-18 08:28:53.3187046,4689,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,9236,disstestbedvm,386,,A process has exited,WORKGROUP\DISSTESTBEDVM$,,,PID: 0x414,,,,,C:\Windows\System32\taskhostw.exe,False,D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_5\artefacts\event_logs\Security.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""DISSTESTBEDVM$""},{""@Name"":""SubjectDomainName"",""#text"":""WORKGROUP""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""Status"",""#text"":""0x0""},{""@Name"":""ProcessId"",""#text"":""0x414""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\System32\\taskhostw.exe""}]}}"
32486,32486,2026-08-18 08:28:53.8846790,4689,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,256,disstestbedvm,386,,A process has exited,disstestbedvm\dfanalyst,,,PID: 0x2858,,,,,C:\Windows\System32\RuntimeBroker.exe,False,D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_5\artefacts\event_logs\Security.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4209295338-567392030-2519289182-1001""},{""@Name"":""SubjectUserName"",""#text"":""dfanalyst""},{""@Name"":""SubjectDomainName"",""#text"":""disstestbedvm""},{""@Name"":""SubjectLogonId"",""#text"":""0x54C92""},{""@Name"":""Status"",""#text"":""0x0""},{""@Name"":""ProcessId"",""#text"":""0x2858""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\System32\\RuntimeBroker.exe""}]}}"
32487,32487,2026-08-18 08:28:56.7056536,4688,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,9236,disstestbedvm,386,,A new process has been created,WORKGROUP\DISSTESTBEDVM$,,Parent process: C:\Windows\System32\svchost.exe,PID: 0x3FC,Parent PID: 0xC74,Mandatory label: SECURITY_MANDATORY_LOW_RID,Target User: disstestbedvm\dfanalyst,,"C:\Windows\System32\backgroundTaskHost.exe ""C:\WINDOWS\system32\BackgroundTaskHost.exe"" -ServerName:BackgroundTaskHost.WebAccountProvider",False,D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_5\artefacts\event_logs\Security.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""DISSTESTBEDVM$""},{""@Name"":""SubjectDomainName"",""#text"":""WORKGROUP""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""NewProcessId"",""#text"":""0xC74""},{""@Name"":""NewProcessName"",""#text"":""C:\\Windows\\System32\\backgroundTaskHost.exe""},{""@Name"":""TokenElevationType"",""#text"":""%%1938""},{""@Name"":""ProcessId"",""#text"":""0x3FC""},{""@Name"":""CommandLine"",""#text"":""\""C:\\WINDOWS\\system32\\BackgroundTaskHost.exe\"" -ServerName:BackgroundTaskHost.WebAccountProvider""},{""@Name"":""TargetUserSid"",""#text"":""S-1-5-21-4209295338-567392030-2519289182-1001""},{""@Name"":""TargetUserName"",""#text"":""dfanalyst""},{""@Name"":""TargetDomainName"",""#text"":""disstestbedvm""},{""@Name"":""TargetLogonId"",""#text"":""0x54C92""},{""@Name"":""ParentProcessName"",""#text"":""C:\\Windows\\System32\\svchost.exe""},{""@Name"":""MandatoryLabel"",""#text"":""S-1-16-4096""}]}}"
32488,32488,2026-08-18 08:28:56.8683045,4689,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,9236,disstestbedvm,386,,A process has exited,disstestbedvm\dfanalyst,,,PID: 0xC74,,,,,C:\Windows\System32\backgroundTaskHost.exe,False,D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_5\artefacts\event_logs\Security.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4209295338-567392030-2519289182-1001""},{""@Name"":""SubjectUserName"",""#text"":""dfanalyst""},{""@Name"":""SubjectDomainName"",""#text"":""disstestbedvm""},{""@Name"":""SubjectLogonId"",""#text"":""0x54C92""},{""@Name"":""Status"",""#text"":""0x1""},{""@Name"":""ProcessId"",""#text"":""0xC74""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\System32\\backgroundTaskHost.exe""}]}}"
32489,32489,2026-08-18 08:28:57.3520916,4663,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,3008,disstestbedvm,386,,Attempt was made to access an object,disstestbedvm\dfanalyst,,ObjectServer: Security,ObjectType: File,ObjectName: \Device\CdRom0\setup.exe,"AccessList: Unknown code (%%4416, )",,,C:\Windows\explorer.exe,False,D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_5\artefacts\event_logs\Security.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4209295338-567392030-2519289182-1001""},{""@Name"":""SubjectUserName"",""#text"":""dfanalyst""},{""@Name"":""SubjectDomainName"",""#text"":""disstestbedvm""},{""@Name"":""SubjectLogonId"",""#text"":""0x54C92""},{""@Name"":""ObjectServer"",""#text"":""Security""},{""@Name"":""ObjectType"",""#text"":""File""},{""@Name"":""ObjectName"",""#text"":""\\Device\\CdRom0\\setup.exe""},{""@Name"":""HandleId"",""#text"":""0x3054""},{""@Name"":""AccessList"",""#text"":""%%4416, ""},{""@Name"":""AccessMask"",""#text"":""0x1""},{""@Name"":""ProcessId"",""#text"":""0x1570""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\explorer.exe""},{""@Name"":""ResourceAttributes""}]}}"
32490,32490,2026-08-18 08:28:57.4070440,4663,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,9236,disstestbedvm,386,,Attempt was made to access an object,disstestbedvm\dfanalyst,,ObjectServer: Security,ObjectType: File,ObjectName: \Device\CdRom0\,"AccessList: Unknown code (%%4416, )",,,C:\Windows\explorer.exe,False,D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_5\artefacts\event_logs\Security.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4209295338-567392030-2519289182-1001""},{""@Name"":""SubjectUserName"",""#text"":""dfanalyst""},{""@Name"":""SubjectDomainName"",""#text"":""disstestbedvm""},{""@Name"":""SubjectLogonId"",""#text"":""0x54C92""},{""@Name"":""ObjectServer"",""#text"":""Security""},{""@Name"":""ObjectType"",""#text"":""File""},{""@Name"":""ObjectName"",""#text"":""\\Device\\CdRom0\\""},{""@Name"":""HandleId"",""#text"":""0x3EBC""},{""@Name"":""AccessList"",""#text"":""%%4416, ""},{""@Name"":""AccessMask"",""#text"":""0x1""},{""@Name"":""ProcessId"",""#text"":""0x1570""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\explorer.exe""},{""@Name"":""ResourceAttributes""}]}}"
32491,32491,2026-08-18 08:28:57.4076186,4663,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,9236,disstestbedvm,386,,Attempt was made to access an object,disstestbedvm\dfanalyst,,ObjectServer: Security,ObjectType: File,ObjectName: \Device\CdRom0\,"AccessList: Unknown code (%%4416, )",,,C:\Windows\explorer.exe,False,D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_5\artefacts\event_logs\Security.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4209295338-567392030-2519289182-1001""},{""@Name"":""SubjectUserName"",""#text"":""dfanalyst""},{""@Name"":""SubjectDomainName"",""#text"":""disstestbedvm""},{""@Name"":""SubjectLogonId"",""#text"":""0x54C92""},{""@Name"":""ObjectServer"",""#text"":""Security""},{""@Name"":""ObjectType"",""#text"":""File""},{""@Name"":""ObjectName"",""#text"":""\\Device\\CdRom0\\""},{""@Name"":""HandleId"",""#text"":""0x3E78""},{""@Name"":""AccessList"",""#text"":""%%4416, ""},{""@Name"":""AccessMask"",""#text"":""0x1""},{""@Name"":""ProcessId"",""#text"":""0x1570""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\explorer.exe""},{""@Name"":""ResourceAttributes""}]}}"
32492,32492,2026-08-18 08:28:59.9003887,4798,LogAlways,Microsoft-Windows-Security-Auditing,Security,888,11996,disstestbedvm,386,,A user's local group membership was enumerated,disstestbedvm\dfanalyst (S-1-5-21-4209295338-567392030-2519289182-1001),,Target: disstestbedvm\dfanalyst (S-1-5-21-4209295338-567392030-2519289182-1001),SubjectLogonId: 0x54C92,CallerProcessName: C:\Windows\explorer.exe,CallerProcessId: 0x1570,,,,False,D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_5\artefacts\event_logs\Security.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""TargetUserName"",""#text"":""dfanalyst""},{""@Name"":""TargetDomainName"",""#text"":""disstestbedvm""},{""@Name"":""TargetSid"",""#text"":""S-1-5-21-4209295338-567392030-2519289182-1001""},{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4209295338-567392030-2519289182-1001""},{""@Name"":""SubjectUserName"",""#text"":""dfanalyst""},{""@Name"":""SubjectDomainName"",""#text"":""disstestbedvm""},{""@Name"":""SubjectLogonId"",""#text"":""0x54C92""},{""@Name"":""CallerProcessId"",""#text"":""0x1570""},{""@Name"":""CallerProcessName"",""#text"":""C:\\Windows\\explorer.exe""}]}}"
32493,32493,2026-08-18 08:29:01.0593802,4798,LogAlways,Microsoft-Windows-Security-Auditing,Security,888,1016,disstestbedvm,386,,A user's local group membership was enumerated,disstestbedvm\dfanalyst (S-1-5-21-4209295338-567392030-2519289182-1001),,Target: disstestbedvm\dfanalyst (S-1-5-21-4209295338-567392030-2519289182-1001),SubjectLogonId: 0x54C92,CallerProcessName: C:\Windows\explorer.exe,CallerProcessId: 0x1570,,,,False,D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_5\artefacts\event_logs\Security.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""TargetUserName"",""#text"":""dfanalyst""},{""@Name"":""TargetDomainName"",""#text"":""disstestbedvm""},{""@Name"":""TargetSid"",""#text"":""S-1-5-21-4209295338-567392030-2519289182-1001""},{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4209295338-567392030-2519289182-1001""},{""@Name"":""SubjectUserName"",""#text"":""dfanalyst""},{""@Name"":""SubjectDomainName"",""#text"":""disstestbedvm""},{""@Name"":""SubjectLogonId"",""#text"":""0x54C92""},{""@Name"":""CallerProcessId"",""#text"":""0x1570""},{""@Name"":""CallerProcessName"",""#text"":""C:\\Windows\\explorer.exe""}]}}"
32494,32494,2026-08-18 08:29:01.1412218,4688,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,9236,disstestbedvm,386,,A new process has been created,WORKGROUP\DISSTESTBEDVM$,,Parent process: C:\Windows\System32\svchost.exe,PID: 0x3FC,Parent PID: 0x1EE4,Mandatory label: SECURITY_MANDATORY_MEDIUM_RID,Target User: disstestbedvm\dfanalyst,,"C:\Windows\System32\rundll32.exe C:\WINDOWS\System32\rundll32.exe C:\WINDOWS\System32\shell32.dll,SHCreateLocalServerRunDll {9aa46009-3ce0-458a-a354-715610a075e6} -Embedding",False,D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_5\artefacts\event_logs\Security.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""DISSTESTBEDVM$""},{""@Name"":""SubjectDomainName"",""#text"":""WORKGROUP""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""NewProcessId"",""#text"":""0x1EE4""},{""@Name"":""NewProcessName"",""#text"":""C:\\Windows\\System32\\rundll32.exe""},{""@Name"":""TokenElevationType"",""#text"":""%%1938""},{""@Name"":""ProcessId"",""#text"":""0x3FC""},{""@Name"":""CommandLine"",""#text"":""C:\\WINDOWS\\System32\\rundll32.exe C:\\WINDOWS\\System32\\shell32.dll,SHCreateLocalServerRunDll {9aa46009-3ce0-458a-a354-715610a075e6} -Embedding""},{""@Name"":""TargetUserSid"",""#text"":""S-1-5-21-4209295338-567392030-2519289182-1001""},{""@Name"":""TargetUserName"",""#text"":""dfanalyst""},{""@Name"":""TargetDomainName"",""#text"":""disstestbedvm""},{""@Name"":""TargetLogonId"",""#text"":""0x54C92""},{""@Name"":""ParentProcessName"",""#text"":""C:\\Windows\\System32\\svchost.exe""},{""@Name"":""MandatoryLabel"",""#text"":""S-1-16-8192""}]}}"
32495,32495,2026-08-18 08:29:01.1817861,4689,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,9696,disstestbedvm,386,,A process has exited,disstestbedvm\dfanalyst,,,PID: 0x1EE4,,,,,C:\Windows\System32\rundll32.exe,False,D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_5\artefacts\event_logs\Security.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4209295338-567392030-2519289182-1001""},{""@Name"":""SubjectUserName"",""#text"":""dfanalyst""},{""@Name"":""SubjectDomainName"",""#text"":""disstestbedvm""},{""@Name"":""SubjectLogonId"",""#text"":""0x54C92""},{""@Name"":""Status"",""#text"":""0x0""},{""@Name"":""ProcessId"",""#text"":""0x1EE4""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\System32\\rundll32.exe""}]}}"
32496,32496,2026-08-18 08:29:09.1327495,4689,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,400,disstestbedvm,386,,A process has exited,disstestbedvm\dfanalyst,,,PID: 0x2398,,,,,C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SoftLandingTask\SoftLandingTask.exe,False,D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_5\artefacts\event_logs\Security.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4209295338-567392030-2519289182-1001""},{""@Name"":""SubjectUserName"",""#text"":""dfanalyst""},{""@Name"":""SubjectDomainName"",""#text"":""disstestbedvm""},{""@Name"":""SubjectLogonId"",""#text"":""0x54C92""},{""@Name"":""Status"",""#text"":""0x0""},{""@Name"":""ProcessId"",""#text"":""0x2398""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\SystemApps\\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\\SoftLandingTask\\SoftLandingTask.exe""}]}}"
32497,32497,2026-08-18 08:29:12.5409000,4689,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,9696,disstestbedvm,386,,A process has exited,WORKGROUP\DISSTESTBEDVM$,,,PID: 0x1428,,,,,C:\Windows\System32\svchost.exe,False,D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_5\artefacts\event_logs\Security.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""DISSTESTBEDVM$""},{""@Name"":""SubjectDomainName"",""#text"":""WORKGROUP""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""Status"",""#text"":""0x0""},{""@Name"":""ProcessId"",""#text"":""0x1428""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\System32\\svchost.exe""}]}}"
32498,32498,2026-08-18 08:29:13.5706828,4689,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,9696,disstestbedvm,386,,A process has exited,WORKGROUP\DISSTESTBEDVM$,,,PID: 0x2188,,,,,C:\Windows\UUS\amd64\MoUsoCoreWorker.exe,False,D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_5\artefacts\event_logs\Security.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""DISSTESTBEDVM$""},{""@Name"":""SubjectDomainName"",""#text"":""WORKGROUP""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""Status"",""#text"":""0x0""},{""@Name"":""ProcessId"",""#text"":""0x2188""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\UUS\\amd64\\MoUsoCoreWorker.exe""}]}}"
32499,32499,2026-08-18 08:29:19.9319901,4689,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,9236,disstestbedvm,386,,A process has exited,WORKGROUP\DISSTESTBEDVM$,,,PID: 0x63C,,,,,C:\Windows\System32\sppsvc.exe,False,D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_5\artefacts\event_logs\Security.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-20""},{""@Name"":""SubjectUserName"",""#text"":""DISSTESTBEDVM$""},{""@Name"":""SubjectDomainName"",""#text"":""WORKGROUP""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E4""},{""@Name"":""Status"",""#text"":""0x0""},{""@Name"":""ProcessId"",""#text"":""0x63C""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\System32\\sppsvc.exe""}]}}"
