"Action","Note","StartUtc","EndUtc","DurationSec"
"A01","Open File Explorer","2026-08-18 07:20:30.249","2026-08-18 07:20:54.826","24.58"
"A02","Navigate to C:\DISS_TESTDATA\scenario3_nav","2026-08-18 07:21:30.466","2026-08-18 07:21:50.279","19.81"
"A03","Double click level1_a","2026-08-18 07:22:46.821","2026-08-18 07:23:03.426","16.61"
"A04","Double click level2_a","2026-08-18 07:23:18.493","2026-08-18 07:23:35.609","17.12"
"A05","Double click level3_a","2026-08-18 07:23:47.202","2026-08-18 07:24:06.141","18.94"
"A06","Double click level4_a","2026-08-18 07:24:16.761","2026-08-18 07:24:39.275","22.51"
"A07","Double click level5_a","2026-08-18 07:24:50.957","2026-08-18 07:25:11.916","20.96"
"A08","Close Explorer","2026-08-18 07:25:22.841","2026-08-18 07:25:39.805","16.96"
