"Action","Note","StartUtc","EndUtc","DurationSec"
"A01","Launch Notepad++ from Start","2026-08-23 01:37:08.130","2026-08-23 01:37:38.889","30.76"
"A02","Type Scenario 7 test content with UTC marker","2026-08-23 01:37:46.348","2026-08-23 01:38:27.091","40.74"
"A03","File menu, Save As in Docuemts folder","2026-08-23 01:38:35.619","2026-08-23 01:39:39.860","64.24"
"A04","Closing Notepad++","2026-08-23 01:39:45.106","2026-08-23 01:40:02.411","17.31"
"A05","Opening Documents folder using File Explorer","2026-08-23 01:40:09.703","2026-08-23 01:40:35.271","25.57"
"A06","Viewing the file created","2026-08-23 01:40:43.351","2026-08-23 01:40:59.247","15.9"
"A07","Closing File explorer and Applications","2026-08-23 01:41:04.955","2026-08-23 01:41:27.546","22.59"
