"RunTime","ExecutableName"
"2026-08-23 01:39:35","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SOFTWAREDISTRIBUTION\DOWNLOAD\INSTALL\AM_DELTA.EXE"
"2026-08-23 01:40:18","\VOLUME{01dd13b23dcb8909-043dd6e4}\USERS\DFANALYST\APPDATA\LOCAL\MICROSOFT\ONEDRIVE\26.145.0728.0011\FILECOAUTH.EXE"
"2026-08-23 01:38:02","\VOLUME{01dd13b23dcb8909-043dd6e4}\USERS\DFANALYST\APPDATA\LOCAL\MICROSOFT\ONEDRIVE\26.145.0728.0011\FILECOAUTH.EXE"
"2026-08-23 01:37:16","\VOLUME{01dd13b23dcb8909-043dd6e4}\PROGRAM FILES\NOTEPAD++\UPDATER\GUP.EXE"
"2026-08-23 01:39:35","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\MPSIGSTUB.EXE"
"2026-08-23 01:38:39","\VOLUME{01dd13b23dcb8909-043dd6e4}\PROGRAM FILES (X86)\MICROSOFT\EDGE\APPLICATION\MSEDGE.EXE"
"2026-08-23 01:37:09","\VOLUME{01dd13b23dcb8909-043dd6e4}\PROGRAM FILES (X86)\MICROSOFT\EDGE\APPLICATION\MSEDGE.EXE"
"2026-08-23 01:37:53","\VOLUME{01dd13b23dcb8909-043dd6e4}\PROGRAM FILES (X86)\MICROSOFT\EDGEWEBVIEW\APPLICATION\151.0.4129.86\MSEDGEWEBVIEW2.EXE"
"2026-08-23 01:37:53","\VOLUME{01dd13b23dcb8909-043dd6e4}\PROGRAM FILES (X86)\MICROSOFT\EDGEWEBVIEW\APPLICATION\151.0.4129.86\MSEDGEWEBVIEW2.EXE"
"2026-08-23 01:37:15","\VOLUME{01dd13b23dcb8909-043dd6e4}\PROGRAM FILES\NOTEPAD++\NOTEPAD++.EXE"
"2026-08-23 01:40:48","\VOLUME{01dd13b23dcb8909-043dd6e4}\PROGRAM FILES\WINDOWSAPPS\MICROSOFT.WINDOWSNOTEPAD_11.2606.15.0_X64__8WEKYB3D8BBWE\NOTEPAD\NOTEPAD.EXE"
"2026-08-23 01:40:18","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\RUNDLL32.EXE"
"2026-08-23 01:38:24","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\RUNTIMEBROKER.EXE"
"2026-08-23 01:38:01","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\RUNTIMEBROKER.EXE"
"2026-08-23 01:38:02","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\RUNTIMEBROKER.EXE"
"2026-08-23 01:38:24","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\RUNTIMEBROKER.EXE"
"2026-08-23 01:38:01","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\RUNTIMEBROKER.EXE"
"2026-08-23 01:39:18","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\SEARCHFILTERHOST.EXE"
"2026-08-23 01:39:18","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\SEARCHPROTOCOLHOST.EXE"
"2026-08-23 01:37:47","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\SPPSVC.EXE"
"2026-08-23 01:38:01","\VOLUME{01dd13b23dcb8909-043dd6e4}\PROGRAM FILES\WINDOWSAPPS\MICROSOFT.WINDOWSSTORE_22606.1401.13.0_X64__8WEKYB3D8BBWE\STOREDESKTOPEXTENSION.EXE"
"2026-08-23 01:37:47","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\SVCHOST.EXE"
"2026-08-23 01:37:47","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\SVCHOST.EXE"
"2026-08-23 01:37:47","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\SVCHOST.EXE"
"2026-08-23 01:40:33","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\TASKHOSTW.EXE"
"2026-08-23 01:38:02","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\OOBE\USEROOBEBROKER.EXE"
"2026-08-23 01:38:10","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\WBEM\WMIAPSRV.EXE"
"2026-08-23 01:39:35","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\WINSXS\AMD64_MICROSOFT-WINDOWS-W..WSUPDATECLIENT-CORE_31BF3856AD364E35_10.0.26100.8521_NONE_4A9B635359A68B25\WUAUCLTCORE.EXE"
