"Algorithm","Hash","Path","SizeBytes"
"SHA256","A5C69A3B50A001712C2A3DAF78773A8024C4E305340F31B999E32E9F46B10AEA","D:\UOW\SEM3\msc-diss-7csef001w\artefacts\prefetch\raw\S01-R01\151.0.7922.138_CHROME_INSTALL-FFDC6407.pf","45984"
"SHA256","302599C6C5CC6D5AF97483ACFC9997D43A525169D6E3EFD8B136823C2C9875E8","D:\UOW\SEM3\msc-diss-7csef001w\artefacts\prefetch\raw\S01-R01\ACROBAT.EXE-F94F9B29.pf","52771"
"SHA256","9A6A7DE6A6BC8099A72374F94D05069A82742CF6B2B680F7C92B243F0F20E5D6","D:\UOW\SEM3\msc-diss-7csef001w\artefacts\prefetch\raw\S01-R01\ACROBAT.EXE-F94F9B2A.pf","4639"
"SHA256","652CF7E001663F7D59F20DDA7923E32C8CC3F14076E16457A96E4EE78F22E682","D:\UOW\SEM3\msc-diss-7csef001w\artefacts\prefetch\raw\S01-R01\ACROBAT.EXE-F94F9B30.pf","12420"
"SHA256","7388870CA9FBF6CB182F3BB07829F26895C369BF87F15BADE3BBBE2004741089","D:\UOW\SEM3\msc-diss-7csef001w\artefacts\prefetch\raw\S01-R01\ADNOTIFICATIONMANAGER.EXE-E7F9E8B8.pf","11800"
"SHA256","F186DB05336AF8271058CEDC96C3B7230A914625D055D9F1B7CEF351B569EDA5","D:\UOW\SEM3\msc-diss-7csef001w\artefacts\prefetch\raw\S01-R01\ADOBEARM.EXE-F9223367.pf","49969"
"SHA256","00FF7579C70066C933D7F826F6DE14F3BAA9916BF624461C8D49BC031F4A99BE","D:\UOW\SEM3\msc-diss-7csef001w\artefacts\prefetch\raw\S01-R01\ADOBEARMHELPER.EXE-C537EF0C.pf","12139"
"SHA256","CCF16004CDB7F56E5740F0BA18F3FBBD6EF7C480FB0484E3CEC8F711461998F9","D:\UOW\SEM3\msc-diss-7csef001w\artefacts\prefetch\raw\S01-R01\ADOBEARMHELPER.EXE-FA58E1EF.pf","5700"
"SHA256","713F49C9673A82A389530955B163CAC29A15CDAD73908DABE13B6D2D90863C71","D:\UOW\SEM3\msc-diss-7csef001w\artefacts\prefetch\raw\S01-R01\ADOBEARM_UCB.EXE-C04E772A.pf","6559"
"SHA256","C6C8D72A5E58BCC9FB256B64C9D98ED215C8EA95DA40DD56D9209F7E06E4E389","D:\UOW\SEM3\msc-diss-7csef001w\artefacts\prefetch\raw\S01-R01\ADOBECOLLABSYNC.EXE-A30339B6.pf","28044"
"SHA256","C68D38095DFB2E9B530815D247EDE642914F29DF5DFAB33C109F9DBDAD4F4147","D:\UOW\SEM3\msc-diss-7csef001w\artefacts\prefetch\raw\S01-R01\AM_BASE.EXE-3F70DC95.pf","2302"
"SHA256","D0F474BBBAAF93D94B0C47B73916FCFE691859FB31CD03B2149411BDD10F6488","D:\UOW\SEM3\msc-diss-7csef001w\artefacts\prefetch\raw\S01-R01\AM_BASE_PATCH1.EXE-B2ACC39D.pf","2241"
"SHA256","5B33DAB95DDDFB6459241C847A7A65DDFD9B6879C7FE16C72CB6B2F4471B177D","D:\UOW\SEM3\msc-diss-7csef001w\artefacts\prefetch\raw\S01-R01\AM_DELTA.EXE-78CA83B0.pf","3175"
"SHA256","32AF82BCEBE88153759C8B1B5E27929FDA11AC173245F4C514CDCC71FB879F26","D:\UOW\SEM3\msc-diss-7csef001w\artefacts\prefetch\raw\S01-R01\AM_ENGINE.EXE-F1C956E4.pf","2989"
"SHA256","BA9F3EA88E9CC5C678AB17933F671D2656B9538DDF5026210EB97AA9CC7DB1DA","D:\UOW\SEM3\msc-diss-7csef001w\artefacts\prefetch\raw\S01-R01\AM_ENGINE_PATCH_1.1.26060.300-49F3FAFB.pf","2525"
"SHA256","2C09878E9008BBE62372DE03E8BBEC1E12894EF2CA85CF2B4ED8B475BA817786","D:\UOW\SEM3\msc-diss-7csef001w\artefacts\prefetch\raw\S01-R01\APPACTIONS.EXE-D77D7F4C.pf","29797"
"SHA256","D099448281E32305F0F0BE0E3A9ABD7DFB7AC09B76EB81D61CED89F7EC35EEFD","D:\UOW\SEM3\msc-diss-7csef001w\artefacts\prefetch\raw\S01-R01\APPLICATIONFRAMEHOST.EXE-8CE9A1EE.pf","31566"
"SHA256","F65F9B94DDF68DDEEB60E77FEFE06554EF31BA2F37468DD847FFFA50A724275B","D:\UOW\SEM3\msc-diss-7csef001w\artefacts\prefetch\raw\S01-R01\ARMSVC.EXE-A68AEAE4.pf","4322"
"SHA256","EA46F15AA432E64BEAFD259F397E127F81E1DBC50EE0DEE71B6C6A5AA3301F99","D:\UOW\SEM3\msc-diss-7csef001w\artefacts\prefetch\raw\S01-R01\AUDIODG.EXE-AB22E9A6.pf","6826"
"SHA256","4268FFD7E49AA9823E6D91439EDF6A112921917F90A77EC671BDB6072EBA9EBC","D:\UOW\SEM3\msc-diss-7csef001w\artefacts\prefetch\raw\S01-R01\AUDITPOL.EXE-2D4A3037.pf","2354"
"SHA256","98D6E3DCA5D273879B55941300C2EDA14CDA86A70A1FF17B4F1546E6E5998E31","D:\UOW\SEM3\msc-diss-7csef001w\artefacts\prefetch\raw\S01-R01\BACKGROUNDTASKHOST.EXE-4589797A.pf","9344"
"SHA256","F7407C7F2BC695E0DF85115AE8BEA41D312AF58E45A81A97EE2D6219567C7E31","D:\UOW\SEM3\msc-diss-7csef001w\artefacts\prefetch\raw\S01-R01\BACKGROUNDTASKHOST.EXE-51333CCD.pf","6622"
"SHA256","19D450AE0CE359832904E72EFF51B10F6AEE05EB63CB27340D59FC02E55DC09B","D:\UOW\SEM3\msc-diss-7csef001w\artefacts\prefetch\raw\S01-R01\BACKGROUNDTASKHOST.EXE-652FD708.pf","9783"
"SHA256","48190EE5589132C7BF02F170EAE84085B21CCB45217E17BF3FB00C58898AD410","D:\UOW\SEM3\msc-diss-7csef001w\artefacts\prefetch\raw\S01-R01\BACKGROUNDTASKHOST.EXE-7807DBFD.pf","9764"
"SHA256","89CF486143E1E1A502584502D47EACC3525C25AB99040D3293F859C2D38331A6","D:\UOW\SEM3\msc-diss-7csef001w\artefacts\prefetch\raw\S01-R01\BACKGROUNDTASKHOST.EXE-94B29EA3.pf","34393"
"SHA256","8E99FD108B48E3731C36BDBDFB4D86EF16A91214B17C6342E6107D151AD74AB7","D:\UOW\SEM3\msc-diss-7csef001w\artefacts\prefetch\raw\S01-R01\BACKGROUNDTASKHOST.EXE-BB08D488.pf","25379"
"SHA256","6E9C659286A126E4550FE81DF63FC1A425280FCB7DB3710400627CF999A7E979","D:\UOW\SEM3\msc-diss-7csef001w\artefacts\prefetch\raw\S01-R01\BACKGROUNDTASKHOST.EXE-CAD1DF16.pf","14724"
"SHA256","FB83B4EE74380F5F97B5FCD772311241E872C4C0E1D3849E1B0E05FB2C1E43F4","D:\UOW\SEM3\msc-diss-7csef001w\artefacts\prefetch\raw\S01-R01\BACKGROUNDTASKHOST.EXE-D416BD78.pf","20982"
"SHA256","8799B92DC89528E795992264D3A10B131DD6EEE5F490B9E075C32B778A86FE65","D:\UOW\SEM3\msc-diss-7csef001w\artefacts\prefetch\raw\S01-R01\BACKGROUNDTASKHOST.EXE-E093C3F5.pf","8124"
