"RunTime","ExecutableName"
"2026-08-16 09:08:51","151.0.7922.138_CHROME_INSTALL"
"2026-08-16 09:17:03","\VOLUME{01dd13b23dcb8909-043dd6e4}\PROGRAM FILES\ADOBE\ACROBAT DC\ACROBAT\ACROBAT.EXE"
"2026-08-16 09:16:51","\VOLUME{01dd13b23dcb8909-043dd6e4}\PROGRAM FILES\ADOBE\ACROBAT DC\ACROBAT\ACROBAT.EXE"
"2026-08-16 09:16:52","\VOLUME{01dd13b23dcb8909-043dd6e4}\PROGRAM FILES\ADOBE\ACROBAT DC\ACROBAT\ACROBAT.EXE"
"2026-08-16 09:17:03","\VOLUME{01dd13b23dcb8909-043dd6e4}\PROGRAM FILES\ADOBE\ACROBAT DC\ACROBAT\ACROBAT.EXE"
"2026-08-16 09:17:05","\VOLUME{01dd13b23dcb8909-043dd6e4}\PROGRAM FILES\ADOBE\ACROBAT DC\ACROBAT\ADNOTIFICATIONMANAGER.EXE"
"2026-08-16 09:18:22","\VOLUME{01dd13b23dcb8909-043dd6e4}\PROGRAM FILES (X86)\COMMON FILES\ADOBE\ARM\1.0\ADOBEARM.EXE"
"2026-08-16 09:18:00","\VOLUME{01dd13b23dcb8909-043dd6e4}\PROGRAM FILES (X86)\COMMON FILES\ADOBE\ARM\1.0\ADOBEARM.EXE"
"2026-08-16 09:18:14","\VOLUME{01dd13b23dcb8909-043dd6e4}\PROGRAM FILES (X86)\COMMON FILES\ADOBE\ARM\1.0\TEMP\1984688195\ADOBEARMHELPER.EXE"
"2026-08-16 09:18:00","\VOLUME{01dd13b23dcb8909-043dd6e4}\PROGRAM FILES (X86)\COMMON FILES\ADOBE\ARM\1.0\ADOBEARMHELPER.EXE"
"2026-08-16 09:18:14","\VOLUME{01dd13b23dcb8909-043dd6e4}\PROGRAM FILES (X86)\COMMON FILES\ADOBE\ARM\1.0\UCB\ADOBEARM_UCB.EXE"
"2026-08-16 09:18:20","\VOLUME{01dd13b23dcb8909-043dd6e4}\PROGRAM FILES (X86)\COMMON FILES\ADOBE\ARM\1.0\ARMSVC.EXE"
"2026-08-16 09:15:56","\VOLUME{01dd13b23dcb8909-043dd6e4}\PROGRAM FILES (X86)\COMMON FILES\ADOBE\ARM\1.0\ARMSVC.EXE"
"2026-08-16 09:18:00","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\AUDIODG.EXE"
"2026-08-16 09:08:00","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\AUDIODG.EXE"
"2026-08-16 09:07:19","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE"
"2026-08-16 09:09:07","\VOLUME{01dd13b23dcb8909-043dd6e4}\PROGRAM FILES\GOOGLE\CHROME\APPLICATION\151.0.7922.138\INSTALLER\CHRMSTP.EXE"
"2026-08-16 09:09:07","\VOLUME{01dd13b23dcb8909-043dd6e4}\PROGRAM FILES\GOOGLE\CHROME\APPLICATION\151.0.7922.138\INSTALLER\CHRMSTP.EXE"
