"RunTime","ExecutableName"
"2026-08-22 21:00:28","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\BDEUISRV.EXE"
"2026-08-22 21:02:44","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\CONHOST.EXE"
"2026-08-22 21:03:13","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\DLLHOST.EXE"
"2026-08-22 21:00:23","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\DLLHOST.EXE"
"2026-08-22 21:00:21","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\DLLHOST.EXE"
"2026-08-22 21:00:28","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\DRVINST.EXE"
"2026-08-22 21:02:44","\VOLUME{01dd32279061bdfa-b0920497}\PORTABLE\HELLOWORLD.EXE"
"2026-08-22 21:03:39","\VOLUME{01dd13b23dcb8909-043dd6e4}\PROGRAM FILES (X86)\MICROSOFT\EDGEUPDATE\MICROSOFTEDGEUPDATE.EXE"
"2026-08-22 21:02:44","\VOLUME{01dd13b23dcb8909-043dd6e4}\PROGRAM FILES\WINDOWSAPPS\MICROSOFT.WINDOWSTERMINAL_1.24.11911.0_X64__8WEKYB3D8BBWE\OPENCONSOLE.EXE"
"2026-08-22 21:03:16","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\RUNDLL32.EXE"
"2026-08-22 21:03:17","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\RUNDLL32.EXE"
"2026-08-22 21:01:54","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\RUNDLL32.EXE"
"2026-08-22 21:00:29","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\RUNTIMEBROKER.EXE"
"2026-08-22 21:00:29","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEMAPPS\SHELLEXPERIENCEHOST_CW5N1H2TXYEWY\SHELLEXPERIENCEHOST.EXE"
"2026-08-22 21:00:28","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\SVCHOST.EXE"
"2026-08-22 21:00:21","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\SVCHOST.EXE"
"2026-08-22 21:00:28","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\SVCHOST.EXE"
"2026-08-22 21:02:44","\VOLUME{01dd13b23dcb8909-043dd6e4}\PROGRAM FILES\WINDOWSAPPS\MICROSOFT.WINDOWSTERMINAL_1.24.11911.0_X64__8WEKYB3D8BBWE\WINDOWSTERMINAL.EXE"
"2026-08-22 21:01:07","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\WBEM\WMIADAP.EXE"
"2026-08-22 21:00:28","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\WUDFHOST.EXE"
