"RunTime","ExecutableName"
"2026-08-18 16:07:18","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\AUDIODG.EXE"
"2026-08-18 16:06:42","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE"
"2026-08-18 16:04:08","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE"
"2026-08-18 16:02:23","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\CMD.EXE"
"2026-08-18 16:07:20","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\CONHOST.EXE"
"2026-08-18 16:02:19","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\CONHOST.EXE"
"2026-08-18 16:02:19","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\CONHOST.EXE"
"2026-08-18 16:01:23","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\CONHOST.EXE"
"2026-08-18 16:07:18","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\CONSENT.EXE"
"2026-08-18 16:01:52","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\CONSENT.EXE"
"2026-08-18 16:01:42","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEMAPPS\MICROSOFTWINDOWS.CLIENT.CBS_CW5N1H2TXYEWY\CROSSDEVICERESUME.EXE"
"2026-08-18 16:06:46","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\CSRSS.EXE"
"2026-08-18 16:01:31","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\CSRSS.EXE"
"2026-08-18 16:07:18","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\CTFMON.EXE"
"2026-08-18 16:01:52","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\CTFMON.EXE"
"2026-08-18 16:01:37","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\CTFMON.EXE"
"2026-08-18 16:07:00","\VOLUME{01dd13b23dcb8909-043dd6e4}\PROGRAMDATA\MICROSOFT\WINDOWS DEFENDER\PLATFORM\4.18.26070.9-0\DEFENDERSESSIONHELPER.EXE"
"2026-08-18 16:01:43","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\DLLHOST.EXE"
"2026-08-18 16:07:12","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\DLLHOST.EXE"
"2026-08-18 16:01:18","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\DLLHOST.EXE"
"2026-08-18 16:07:18","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\DLLHOST.EXE"
"2026-08-18 16:01:52","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\DLLHOST.EXE"
"2026-08-18 16:06:46","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\DWM.EXE"
"2026-08-18 16:01:31","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\DWM.EXE"
"2026-08-18 16:02:20","\VOLUME{01dd13b23dcb8909-043dd6e4}\USERS\DFANALYST\APPDATA\LOCAL\MICROSOFT\ONEDRIVE\26.139.0720.0007\FILECOAUTH.EXE"
"2026-08-18 16:06:46","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\FONTDRVHOST.EXE"
"2026-08-18 16:01:31","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\FONTDRVHOST.EXE"
"2026-08-18 16:06:46","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\LOGONUI.EXE"
"2026-08-18 16:06:45","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\LOGONUI.EXE"
"2026-08-18 16:01:31","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\LOGONUI.EXE"
"2026-08-18 16:01:25","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\LOGONUI.EXE"
"2026-08-18 16:07:01","\VOLUME{01dd13b23dcb8909-043dd6e4}\PROGRAM FILES (X86)\MICROSOFT\EDGEUPDATE\MICROSOFTEDGEUPDATE.EXE"
"2026-08-18 16:07:01","\VOLUME{01dd13b23dcb8909-043dd6e4}\PROGRAM FILES (X86)\MICROSOFT\EDGEUPDATE\MICROSOFTEDGEUPDATE.EXE"
"2026-08-18 16:01:41","\VOLUME{01dd13b23dcb8909-043dd6e4}\PROGRAM FILES (X86)\MICROSOFT\EDGEUPDATE\MICROSOFTEDGEUPDATE.EXE"
"2026-08-18 16:01:53","MICROSOFTEDGE_X64_151.0.4129."
"2026-08-18 16:06:46","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\UUS\AMD64\MOUSOCOREWORKER.EXE"
"2026-08-18 16:04:08","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\UUS\AMD64\MOUSOCOREWORKER.EXE"
"2026-08-18 16:02:20","\VOLUME{01dd13b23dcb8909-043dd6e4}\PROGRAMDATA\MICROSOFT\WINDOWS DEFENDER\PLATFORM\4.18.26070.9-0\MPCMDRUN.EXE"
"2026-08-18 16:02:19","\VOLUME{01dd13b23dcb8909-043dd6e4}\PROGRAMDATA\MICROSOFT\WINDOWS DEFENDER\PLATFORM\4.18.26070.9-0\MPCMDRUN.EXE"
"2026-08-18 16:02:20","\VOLUME{01dd13b23dcb8909-043dd6e4}\PROGRAMDATA\MICROSOFT\WINDOWS DEFENDER\PLATFORM\4.18.26070.9-0\MPCMDRUN.EXE"
"2026-08-18 16:02:19","\VOLUME{01dd13b23dcb8909-043dd6e4}\PROGRAMDATA\MICROSOFT\WINDOWS DEFENDER\PLATFORM\4.18.26070.9-0\MPCMDRUN.EXE"
"2026-08-18 16:02:19","\VOLUME{01dd13b23dcb8909-043dd6e4}\USERS\DFANALYST\APPDATA\LOCAL\MICROSOFT\ONEDRIVE\ONEDRIVE.EXE"
"2026-08-18 16:07:20","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\WINDOWSPOWERSHELL\V1.0\POWERSHELL.EXE"
"2026-08-18 16:01:53","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\WINDOWSPOWERSHELL\V1.0\POWERSHELL.EXE"
"2026-08-18 16:06:42","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\RUNTIMEBROKER.EXE"
"2026-08-18 16:01:43","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\RUNTIMEBROKER.EXE"
"2026-08-18 16:07:15","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\RUNTIMEBROKER.EXE"
"2026-08-18 16:06:45","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\SEARCHPROTOCOLHOST.EXE"
"2026-08-18 16:07:31","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\SECURITYHEALTH\10.0.29554.1001-0\SECURITYHEALTHHOST.EXE"
"2026-08-18 16:02:11","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\SECURITYHEALTH\10.0.29554.1001-0\SECURITYHEALTHHOST.EXE"
"2026-08-18 16:07:01","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\SIHOST.EXE"
"2026-08-18 16:01:48","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\SMARTSCREEN.EXE"
"2026-08-18 16:01:43","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEMAPPS\MICROSOFTWINDOWS.CLIENT.CBS_CW5N1H2TXYEWY\SOFTLANDINGTASK\SOFTLANDINGTASK.EXE"
"2026-08-18 16:01:43","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEMAPPS\MICROSOFT.WINDOWS.STARTMENUEXPERIENCEHOST_CW5N1H2TXYEWY\STARTMENUEXPERIENCEHOST.EXE"
"2026-08-18 16:07:01","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\SVCHOST.EXE"
"2026-08-18 16:07:01","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\SVCHOST.EXE"
