"Action","Phase","UTC","Note"
"PRE","anchor","2026-08-22T20:32:30+00:00","Revert to baseline_pre_scenarios, sign in as dfanalyst, 60s settle. Logger loaded. DISS-USB stick (Ven=General, Prod=UDisk, Rev=5.00, PnP serial 6&38E547A7&2&_&0, volume serial B0920497) physically attached to host but disconnected from VM. See scenarios/scenario_4/evaluation/usb_identity.txt for full device identity."
"A01","start","2026-08-22T20:33:34.0129820+00:00","USB attach via VMWare Removable devices Connect"
"A01","end","2026-08-22T20:34:16.0830726+00:00",""
"A02","start","2026-08-22T20:34:34.0027278+00:00","Open Explorer, navigate to USB root"
"A02","end","2026-08-22T20:34:49.6367617+00:00",""
"A03","start","2026-08-22T20:35:20.2501771+00:00","Navigate to \PORTABLE\ directory inside USB root"
"A03","end","2026-08-22T20:35:31.8434524+00:00",""
"A04","start","2026-08-22T20:35:43.6480516+00:00","Launching Hellowworld exe from directory"
"A04","end","2026-08-22T20:36:01.0050002+00:00",""
"A05","start","2026-08-22T20:36:14.5251225+00:00","Eject USB from Explorer"
"A05","end","2026-08-22T20:36:36.0165618+00:00",""
"A06","start","2026-08-22T20:36:47.3257862+00:00","Disconnect USB from guest in VMWare Removable Devices"
"A06","end","2026-08-22T20:37:10.2296287+00:00",""
