BagPath,Slot,NodeSlot,MRUPosition,AbsolutePath,ShellType,Value,ChildBags,CreatedOn,ModifiedOn,AccessedOn,LastWriteTime,MFTEntry,MFTSequenceNumber,ExtensionBlockCount,FirstInteracted,LastInteracted,HasExplored,Miscellaneous
BagMRU,0,0,1,Desktop\Win11 21H2,Root folder: GUID,Win11 21H2,0,,,,2026-08-18 07:24:55,,,0,2026-07-14 09:52:42,,False,
BagMRU,1,0,0,Desktop\This PC,Root folder: GUID,This PC,1,,,,2026-08-18 07:24:55,,,0,,2026-08-18 07:24:55,False,
BagMRU,2,0,3,Desktop\Desktop,Root folder: GUID,Desktop,0,,,,2026-08-18 07:24:55,,,1,2026-07-14 10:39:54,,False,
BagMRU,3,0,2,Desktop\Downloads,Root folder: GUID,Downloads,0,,,,2026-08-18 07:24:55,,,0,2026-07-14 10:39:56,,False,
BagMRU\1,0,3,0,Desktop\This PC\C:,Drive letter,C:,4,,,,2026-07-14 09:53:05,,,0,,2026-07-14 09:53:05,True,
BagMRU\1\0,0,4,3,Desktop\This PC\C:\Users,Directory,Users,1,2024-04-01 07:21:18,2026-07-14 08:25:46,2026-07-14 09:50:08,2026-08-18 07:21:39,3534,1,1,,,True,NTFS file system
BagMRU\1\0,1,6,2,Desktop\This PC\C:\Temp,Directory,Temp,0,2026-07-14 09:53:48,2026-07-14 09:57:22,2026-07-14 09:57:22,2026-08-18 07:21:39,155879,1,1,2026-07-14 09:58:45,,True,NTFS file system
BagMRU\1\0,2,7,1,Desktop\This PC\C:\DISS_Config,Directory,DISS_Config,0,2026-07-14 10:08:06,2026-07-14 10:08:06,2026-07-14 10:09:22,2026-08-18 07:21:39,157114,3,1,2026-07-14 10:11:28,,True,NTFS file system
BagMRU\1\0,3,10,0,Desktop\This PC\C:\DISS_TESTDATA,Directory,DISS_TESTDATA,2,2026-07-16 10:29:26,2026-07-16 10:29:26,2026-07-16 10:29:26,2026-08-18 07:21:39,44516,5,1,,2026-08-18 07:21:39,True,NTFS file system
BagMRU\1\0\0,0,5,0,Desktop\This PC\C:\Users\dfanalyst,Directory,dfanalyst,0,2026-07-14 08:14:38,2026-07-14 09:50:16,2026-07-14 09:50:16,2026-07-14 09:53:09,144607,6,1,2026-07-14 09:53:09,2026-07-14 09:53:09,True,NTFS file system
BagMRU\1\0\3,0,11,1,Desktop\This PC\C:\DISS_TESTDATA\PILOT,Directory,PILOT,0,2026-07-16 10:29:26,2026-07-16 10:29:26,2026-07-16 10:29:26,2026-08-18 07:21:39,44518,6,1,2026-07-17 19:29:12,,True,NTFS file system
BagMRU\1\0\3,1,12,0,Desktop\This PC\C:\DISS_TESTDATA\scenario3_nav,Directory,scenario3_nav,1,2026-08-18 07:19:16,2026-08-18 07:19:16,2026-08-18 07:19:16,2026-08-18 07:21:39,1378,30,1,,2026-08-18 07:21:39,True,NTFS file system
BagMRU\1\0\3\1,0,13,0,Desktop\This PC\C:\DISS_TESTDATA\scenario3_nav\level1_a,Directory,level1_a,1,2026-08-18 07:19:16,2026-08-18 07:19:16,2026-08-18 07:19:16,2026-08-18 07:22:51,3299,8,1,,2026-08-18 07:22:51,True,NTFS file system
BagMRU\1\0\3\1\0,0,14,0,Desktop\This PC\C:\DISS_TESTDATA\scenario3_nav\level1_a\level2_a,Directory,level2_a,1,2026-08-18 07:19:16,2026-08-18 07:19:16,2026-08-18 07:19:16,2026-08-18 07:23:23,32081,18,1,,2026-08-18 07:23:23,True,NTFS file system
BagMRU\1\0\3\1\0\0,0,15,0,Desktop\This PC\C:\DISS_TESTDATA\scenario3_nav\level1_a\level2_a\level3_a,Directory,level3_a,1,2026-08-18 07:19:16,2026-08-18 07:19:16,2026-08-18 07:19:16,2026-08-18 07:23:52,32252,6,1,,2026-08-18 07:23:52,True,NTFS file system
BagMRU\1\0\3\1\0\0\0,0,16,0,Desktop\This PC\C:\DISS_TESTDATA\scenario3_nav\level1_a\level2_a\level3_a\level4_a,Directory,level4_a,1,2026-08-18 07:19:16,2026-08-18 07:19:16,2026-08-18 07:19:16,2026-08-18 07:24:21,32254,7,1,,2026-08-18 07:24:21,True,NTFS file system
BagMRU\1\0\3\1\0\0\0\0,0,17,0,Desktop\This PC\C:\DISS_TESTDATA\scenario3_nav\level1_a\level2_a\level3_a\level4_a\level5_a,Directory,level5_a,0,2026-08-18 07:19:16,2026-08-18 07:19:16,2026-08-18 07:19:16,2026-08-18 07:24:55,32261,6,1,2026-08-18 07:24:55,2026-08-18 07:24:55,True,NTFS file system
