"RunTime","ExecutableName"
"2026-08-22 20:34:35","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE"
"2026-08-22 20:33:49","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\BDEUISRV.EXE"
"2026-08-22 20:35:47","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\CONHOST.EXE"
"2026-08-22 20:36:21","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\DLLHOST.EXE"
"2026-08-22 20:36:15","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\DLLHOST.EXE"
"2026-08-22 20:33:43","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\DLLHOST.EXE"
"2026-08-22 20:33:49","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\DRVINST.EXE"
"2026-08-22 20:35:47","\VOLUME{01dd32279061bdfa-b0920497}\PORTABLE\HELLOWORLD.EXE"
"2026-08-22 20:35:19","\VOLUME{01dd13b23dcb8909-043dd6e4}\PROGRAM FILES (X86)\MICROSOFT\EDGEUPDATE\MICROSOFTEDGEUPDATE.EXE"
"2026-08-22 20:36:15","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\UUS\AMD64\MOUSOCOREWORKER.EXE"
"2026-08-22 20:35:47","\VOLUME{01dd13b23dcb8909-043dd6e4}\PROGRAM FILES\WINDOWSAPPS\MICROSOFT.WINDOWSTERMINAL_1.24.11911.0_X64__8WEKYB3D8BBWE\OPENCONSOLE.EXE"
"2026-08-22 20:36:25","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\RUNDLL32.EXE"
"2026-08-22 20:36:25","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\RUNDLL32.EXE"
"2026-08-22 20:35:24","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\RUNDLL32.EXE"
"2026-08-22 20:36:16","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\RUNTIMEBROKER.EXE"
"2026-08-22 20:33:50","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\RUNTIMEBROKER.EXE"
"2026-08-22 20:33:50","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEMAPPS\SHELLEXPERIENCEHOST_CW5N1H2TXYEWY\SHELLEXPERIENCEHOST.EXE"
"2026-08-22 20:36:15","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEMAPPS\MICROSOFTWINDOWS.CLIENT.CBS_CW5N1H2TXYEWY\SOFTLANDINGTASK\SOFTLANDINGTASK.EXE"
"2026-08-22 20:33:49","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\SVCHOST.EXE"
"2026-08-22 20:36:26","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\SVCHOST.EXE"
"2026-08-22 20:36:26","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\SVCHOST.EXE"
"2026-08-22 20:33:43","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\SVCHOST.EXE"
"2026-08-22 20:36:15","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\SVCHOST.EXE"
"2026-08-22 20:36:16","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\SVCHOST.EXE"
"2026-08-22 20:36:15","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\SVCHOST.EXE"
"2026-08-22 20:36:16","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\SVCHOST.EXE"
"2026-08-22 20:33:49","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\SVCHOST.EXE"
"2026-08-22 20:36:30","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\WINSXS\AMD64_MICROSOFT-WINDOWS-SERVICINGSTACK_31BF3856AD364E35_10.0.26100.8648_NONE_A50EF8E3775E8E5E\TIWORKER.EXE"
"2026-08-22 20:36:30","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SERVICING\TRUSTEDINSTALLER.EXE"
"2026-08-22 20:35:47","\VOLUME{01dd13b23dcb8909-043dd6e4}\PROGRAM FILES\WINDOWSAPPS\MICROSOFT.WINDOWSTERMINAL_1.24.11911.0_X64__8WEKYB3D8BBWE\WINDOWSTERMINAL.EXE"
"2026-08-22 20:33:50","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\WUDFHOST.EXE"
