"Action","Phase","UTC","Note"
"PRE","anchor","2026-08-22T20:59:15+00:00","Revert to baseline_pre_scenarios, sign in as dfanalyst, 60s settle. Logger loaded. DISS-USB stick (Ven=General, Prod=UDisk, Rev=5.00, PnP serial 6&38E547A7&2&_&0, volume serial B0920497) physically attached to host but disconnected from VM. See scenarios/scenario_4/evaluation/usb_identity.txt for full device identity."
"A01","start","2026-08-22T21:00:15.5161211+00:00","USB attach via VMWare Removable devices Connect"
"A01","end","2026-08-22T21:00:53.8302074+00:00",""
"A02","start","2026-08-22T21:01:07.7229492+00:00","Open Explorer, navigate to USB root"
"A02","end","2026-08-22T21:01:30.0491603+00:00",""
"A03","start","2026-08-22T21:01:51.1499791+00:00","Navigate to \PORTABLE\ directory inside USB root"
"A03","end","2026-08-22T21:02:22.9418681+00:00",""
"A04","start","2026-08-22T21:02:40.7948915+00:00","Launching Hellowworld exe from directory"
"A04","end","2026-08-22T21:03:01.1768956+00:00",""
"A05","start","2026-08-22T21:03:10.5061649+00:00","Eject USB from Explorer"
"A05","end","2026-08-22T21:03:31.8561588+00:00",""
"A06","start","2026-08-22T21:03:39.3021083+00:00","Disconnect USB from guest in VMWare Removable Devices"
"A06","end","2026-08-22T21:03:55.2412075+00:00",""
