"Action","Phase","UTC","Note"
"PRE","anchor","2026-08-22T11:44:30+00:00","Revert to baseline_pre_scenarios, sign in as dfanalyst, 60s settle. Logger loaded. DISS-USB stick (Ven=General, Prod=UDisk, Rev=5.00, PnP serial 6&38E547A7&2&_&0, volume serial B0920497) physically attached to host but disconnected from VM. See scenarios/scenario_4/evaluation/usb_identity.txt for full device identity."
"A01","start","2026-08-22T11:45:27.8438961+00:00","USB attach via VMWARE Removable devices Connect"
"A01","end","2026-08-22T11:45:57.5349729+00:00",""
"A02","start","2026-08-22T11:46:25.9479536+00:00","Open Explorer, navigate to USB root"
"A02","end","2026-08-22T11:47:31.2898622+00:00",""
"A03","start","2026-08-22T11:48:02.2528992+00:00","Navigate to \PORTABLE\ directory inside USB root"
"A03","end","2026-08-22T11:48:19.7328556+00:00",""
"A04","start","2026-08-22T11:49:03.1365232+00:00","Launching Hellowworld exe from directory"
"A04","end","2026-08-22T11:49:49.0046039+00:00",""
"A05","start","2026-08-22T11:50:10.1839565+00:00","Eject USB from Explorer"
"A05","end","2026-08-22T11:50:32.4201798+00:00",""
"A06","start","2026-08-22T11:50:59.8384977+00:00","Disconnect USB from guest in VMWare Removable Devices"
"A06","end","2026-08-22T11:51:30.4501965+00:00",""
