"Algorithm","Hash","Path","SizeBytes"
"SHA256","4669715F88D0327BEAA5F9949CE49C1C076F13972891B02C84BB1AB8AB2DD305","D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_6\artefacts\prefetch\CROSSDEVICERESUME.EXE-1B7D738B.pf","22258"
"SHA256","A39223D2306E549187ACCBA8E0B5BDFE52CA1DFA4FE455609CDD01F4FDB77940","D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_6\artefacts\prefetch\CSRSS.EXE-F3C368CB.pf","5515"
"SHA256","211CB60894C62F4E55119FAC5D7DF9B2FF15339C2D22CE18A48CAC463E42722B","D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_6\artefacts\prefetch\CTFMON.EXE-795F8130.pf","13662"
"SHA256","81489186F0BB824B80C28B8279C364054653CBB67BF25FED2F73DF3C777ACF3A","D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_6\artefacts\prefetch\DATAEXCHANGEHOST.EXE-8B66795C.pf","18806"
"SHA256","E04873310F103B1ED992D24FBE1A0F4F791C8E7D33A4B15A1028EC04480B1EC7","D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_6\artefacts\prefetch\DEFENDERSESSIONHELPER.EXE-95239A6A.pf","2861"
"SHA256","5994E3B572E50AC911FCA909FDBF494977F1456D49429BA48221F408C73CFCD7","D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_6\artefacts\prefetch\DEFRAG.EXE-3D9E8D72.pf","5659"
"SHA256","3BE81FD80E0DF0E48B487F5681D61A4BC653D732A93714392F228553171043A2","D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_6\artefacts\prefetch\DIRECTXDATABASEUPDATER.EXE-7B8AED66.pf","8591"
"SHA256","3153D45F73B296EA08617E19A12D7E48711A1EFD59F1F2BB538741C93D2C275E","D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_6\artefacts\prefetch\DISMHOST.EXE-89B7E4B6.pf","39912"
"SHA256","703305B577B725E75DD2AF3AD5368506B77739565ABFAB7F5349C633F6716EDE","D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_6\artefacts\prefetch\DISMHOST.EXE-9ED88D89.pf","6090"
"SHA256","51693E6943BFA38D3AC11DF2ED70D04903D050D0EE7F52B3433893BA426B2EB5","D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_6\artefacts\prefetch\DLLHOST.EXE-074772BA.pf","9576"
"SHA256","4F5A8A00AEE3FAB3678FE548533F2C9FAC9B2BFE1BF628CF1F82B71044C9AEB7","D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_6\artefacts\prefetch\DLLHOST.EXE-16537BE1.pf","12474"
"SHA256","209396F052599F0EDD177F9EE29CFD25DDF83CF2AF335982A004749032BE3645","D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_6\artefacts\prefetch\DLLHOST.EXE-1A12D5C8.pf","6961"
"SHA256","198623DFA01B8FC8F1D46D5763E7DA6F8A03B60FB53264E83087F31F09DC196A","D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_6\artefacts\prefetch\DLLHOST.EXE-1BAE06BB.pf","3874"
"SHA256","0912AEA5B8A234126871332174952826B93433E247206D4626AF864A88555CF1","D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_6\artefacts\prefetch\DLLHOST.EXE-47BE07DC.pf","7630"
"SHA256","FE425A1D3C64A15A2F0DAD49650762FF2977AEF21E69B22852622F991D1CDF9B","D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_6\artefacts\prefetch\DLLHOST.EXE-6F625E57.pf","5829"
"SHA256","1923233572F9073DCCC29834C8DB2E16EF3D5533DA3B42703FF89DEBF83D2A8A","D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_6\artefacts\prefetch\DLLHOST.EXE-742E0212.pf","18667"
"SHA256","32C6446AD7DDAE939FAAAFCC5BDDE027025456FB7D99C2927618A6ECB108637D","D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_6\artefacts\prefetch\DLLHOST.EXE-7D5CE0CA.pf","4114"
"SHA256","C76218969C43020E2BCAEB87E94B16599FD1BC545735C3A0666FEEE5172E17BE","D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_6\artefacts\prefetch\DLLHOST.EXE-810B6BBE.pf","9216"
"SHA256","A87C5145C7801ECED07433268FD7AF00569195E730537D9C161C04B30CAC2E52","D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_6\artefacts\prefetch\DLLHOST.EXE-895D23F2.pf","11472"
"SHA256","721F65813E9C096D09BA62FCC3BFA4A70AD047619E43FDDE791495E6A7D7C11C","D:\UOW\SEM3\msc-diss-7csef001w\scenarios\scenario_6\artefacts\prefetch\DLLHOST.EXE-A6DA1980.pf","6209"
