"RunTime","ExecutableName"
"2026-08-23 00:12:50","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SOFTWAREDISTRIBUTION\DOWNLOAD\INSTALL\AM_DELTA.EXE"
"2026-08-23 00:17:53","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE"
"2026-08-23 00:17:56","\VOLUME{01dd13b23dcb8909-043dd6e4}\USERS\DFANALYST\APPDATA\LOCAL\MICROSOFT\ONEDRIVE\26.145.0728.0011\FILECOAUTH.EXE"
"2026-08-23 00:12:49","\VOLUME{01dd13b23dcb8909-043dd6e4}\PROGRAM FILES\NOTEPAD++\UPDATER\GUP.EXE"
"2026-08-23 00:16:35","\VOLUME{01dd13b23dcb8909-043dd6e4}\PROGRAM FILES (X86)\MICROSOFT\TEMP\EU688B.TMP\MICROSOFTEDGEUPDATE.EXE"
"2026-08-23 00:16:34","MICROSOFTEDGEUPDATESETUP_X86_"
"2026-08-23 00:12:50","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\MPSIGSTUB.EXE"
"2026-08-23 00:12:49","\VOLUME{01dd13b23dcb8909-043dd6e4}\PROGRAM FILES\NOTEPAD++\NOTEPAD++.EXE"
"2026-08-23 00:18:31","\VOLUME{01dd13b23dcb8909-043dd6e4}\PROGRAM FILES\WINDOWSAPPS\MICROSOFT.WINDOWSNOTEPAD_11.2606.15.0_X64__8WEKYB3D8BBWE\NOTEPAD\NOTEPAD.EXE"
"2026-08-23 00:17:56","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\RUNDLL32.EXE"
"2026-08-23 00:16:32","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\SEARCHFILTERHOST.EXE"
"2026-08-23 00:16:32","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\SEARCHPROTOCOLHOST.EXE"
"2026-08-23 00:16:21","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\SPPSVC.EXE"
"2026-08-23 00:13:03","\VOLUME{01dd13b23dcb8909-043dd6e4}\PROGRAM FILES (X86)\GOOGLE\GOOGLEUPDATER\152.0.7933.0\UPDATER.EXE"
"2026-08-23 00:13:03","\VOLUME{01dd13b23dcb8909-043dd6e4}\PROGRAM FILES (X86)\GOOGLE\GOOGLEUPDATER\152.0.7933.0\UPDATER.EXE"
"2026-08-23 00:13:03","\VOLUME{01dd13b23dcb8909-043dd6e4}\PROGRAM FILES (X86)\GOOGLE\GOOGLEUPDATER\152.0.7933.0\UPDATER.EXE"
"2026-08-23 00:13:03","\VOLUME{01dd13b23dcb8909-043dd6e4}\PROGRAM FILES (X86)\GOOGLE\GOOGLEUPDATER\152.0.7933.0\UPDATER.EXE"
"2026-08-23 00:12:41","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\WBEM\WMIADAP.EXE"
"2026-08-23 00:12:50","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\WINSXS\AMD64_MICROSOFT-WINDOWS-W..WSUPDATECLIENT-CORE_31BF3856AD364E35_10.0.26100.8521_NONE_4A9B635359A68B25\WUAUCLTCORE.EXE"
