"Action","Note","StartUtc","EndUtc","DurationSec"
"A01","Launch cmd.exe from Start","2026-08-18 20:18:08.821","2026-08-18 20:18:31.142","22.32"
"A02","cmd: whoami","2026-08-18 20:18:47.070","2026-08-18 20:19:00.324","13.25"
"A03","cmd: dir C:\Windows","2026-08-18 20:19:24.373","2026-08-18 20:20:02.890","38.52"
"A04","Close cmd","2026-08-18 20:20:12.293","2026-08-18 20:20:27.205","14.91"
"A05","Launch powershell","2026-08-18 20:20:46.444","2026-08-18 20:21:21.857","35.41"
"A06","PS: Get-Process","2026-08-18 20:21:42.994","2026-08-18 20:22:34.922","51.93"
"A07","Close powershell","2026-08-18 20:22:47.771","2026-08-18 20:23:02.024","14.25"
