"RunTime","ExecutableName"
"2026-08-18 20:20:50","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE"
"2026-08-18 20:18:13","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE"
"2026-08-18 20:18:19","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\CMD.EXE"
"2026-08-18 20:18:48","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\COMPATTELRUNNER.EXE"
"2026-08-18 20:18:19","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\CONHOST.EXE"
"2026-08-18 20:21:16","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\UUS\AMD64\MOUSOCOREWORKER.EXE"
"2026-08-18 20:19:29","\VOLUME{01dd13b23dcb8909-043dd6e4}\PROGRAMDATA\MICROSOFT\WINDOWS DEFENDER\PLATFORM\4.18.26070.9-0\MPCMDRUN.EXE"
"2026-08-18 20:19:29","\VOLUME{01dd13b23dcb8909-043dd6e4}\PROGRAMDATA\MICROSOFT\WINDOWS DEFENDER\PLATFORM\4.18.26070.9-0\MPCMDRUN.EXE"
"2026-08-18 20:19:29","\VOLUME{01dd13b23dcb8909-043dd6e4}\PROGRAMDATA\MICROSOFT\WINDOWS DEFENDER\PLATFORM\4.18.26070.9-0\MPCMDRUN.EXE"
"2026-08-18 20:19:29","\VOLUME{01dd13b23dcb8909-043dd6e4}\PROGRAMDATA\MICROSOFT\WINDOWS DEFENDER\PLATFORM\4.18.26070.9-0\MPCMDRUN.EXE"
"2026-08-18 20:20:53","\VOLUME{01dd13b23dcb8909-043dd6e4}\PROGRAM FILES\WINDOWSAPPS\MICROSOFT.WINDOWSTERMINAL_1.24.11911.0_X64__8WEKYB3D8BBWE\OPENCONSOLE.EXE"
"2026-08-18 20:18:19","\VOLUME{01dd13b23dcb8909-043dd6e4}\PROGRAM FILES\WINDOWSAPPS\MICROSOFT.WINDOWSTERMINAL_1.24.11911.0_X64__8WEKYB3D8BBWE\OPENCONSOLE.EXE"
"2026-08-18 20:20:17","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\WINDOWSPOWERSHELL\V1.0\POWERSHELL.EXE"
"2026-08-18 20:20:13","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\RUNTIMEBROKER.EXE"
"2026-08-18 20:18:13","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\RUNTIMEBROKER.EXE"
"2026-08-18 20:20:13","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\RUNTIMEBROKER.EXE"
"2026-08-18 20:19:47","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\SECURITYHEALTH\10.0.29554.1001-0\SECURITYHEALTHHOST.EXE"
"2026-08-18 20:20:17","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\SPPSVC.EXE"
"2026-08-18 20:18:53","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\SVCHOST.EXE"
"2026-08-18 20:19:47","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\SVCHOST.EXE"
"2026-08-18 20:21:16","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\SVCHOST.EXE"
"2026-08-18 20:20:18","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\WINSXS\AMD64_MICROSOFT-WINDOWS-SERVICINGSTACK_31BF3856AD364E35_10.0.26100.8648_NONE_A50EF8E3775E8E5E\TIWORKER.EXE"
"2026-08-18 20:20:18","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SERVICING\TRUSTEDINSTALLER.EXE"
"2026-08-18 20:21:16","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\UUS\AMD64\UIEORCHESTRATOR.EXE"
"2026-08-18 20:21:16","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\UIEORCHESTRATORSTUB.EXE"
"2026-08-18 20:18:51","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\WHOAMI.EXE"
"2026-08-18 20:20:53","\VOLUME{01dd13b23dcb8909-043dd6e4}\PROGRAM FILES\WINDOWSAPPS\MICROSOFT.WINDOWSTERMINAL_1.24.11911.0_X64__8WEKYB3D8BBWE\WINDOWSTERMINAL.EXE"
"2026-08-18 20:18:19","\VOLUME{01dd13b23dcb8909-043dd6e4}\PROGRAM FILES\WINDOWSAPPS\MICROSOFT.WINDOWSTERMINAL_1.24.11911.0_X64__8WEKYB3D8BBWE\WINDOWSTERMINAL.EXE"
"2026-08-18 20:18:53","\VOLUME{01dd13b23dcb8909-043dd6e4}\WINDOWS\SYSTEM32\WBEM\WMIPRVSE.EXE"
