"Action","Note","StartUtc","EndUtc","DurationSec"
"A01","Launch chrome from Start","2026-08-20 09:03:36.950","2026-08-20 09:04:02.292","25.34"
"A02","Navigate to UoW website","2026-08-20 09:04:37.096","2026-08-20 09:05:28.029","50.93"
"A03","Navigate to bbc & Open first headline","2026-08-20 09:06:03.254","2026-08-20 09:06:57.746","54.49"
"A04","Open digital forensics in wikipedia & scroll","2026-08-20 09:08:04.972","2026-08-20 09:09:35.604","90.63"
"A05","Download a sample pdf from File Examples","2026-08-20 09:11:30.476","2026-08-20 09:12:47.061","76.59"
"A06","Close Chrome","2026-08-20 09:12:56.100","2026-08-20 09:13:10.894","14.79"
"A07","Open Downloads using File Explorer","2026-08-20 09:13:38.062","2026-08-20 09:14:00.310","22.25"
"A08","Close File Explorer","2026-08-20 09:14:51.252","2026-08-20 09:15:04.063","12.81"
